Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,Investors Name,InvestmentnType,Amount in USD,Remarks,City
223,30/07/2018,Cure Fit,Consumer Internet,Health and fitness Platform,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,120000000,,Bengaluru
224,31/07/2018,Five Star Group,Fin-Tech,Non-Bank Lending Platform For SME,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,100000000,,Chennai
225,31/07/2018,Healthsignz,Healthcare,Health and Well being Platform,Kantilal Patel,Seed/ Angel Funding,5000000,,Hyderabad
226,01/06/2018,CoinTribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,"Sabre Partners, Puneet Dalmia & Others",Private Equity,10000000,,Gurugram
227,04/06/2018,Digiconectt,Technology,Sales Analytics and Enablement Platform,Aspire Logistics LLC,Seed/ Angel Funding,125000,,Bengaluru
231,07/06/2018,Annapurna Finance,Finance,Non-Banking Financial Company,Oman India Joint Investment Fund (OIJIF),Private Equity,23000000,,Bhubneswar
232,07/06/2018,Meesho,Consumer Internet,Online Marketplace For Resellers,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,11500000,,Bengaluru
233,10/06/2018,AyeFinance,Finance,Online Lending Platform,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,21500000,,Gurugram
235,12/06/2018,Alpha Capital,Finance,Supplychain Finance,Alpha Capital,Private Equity,14800000,,Mumbai
236,12/06/2018,eshakti,E-Commerce,Fashion e-tailer,Paragon Partners,Private Equity,10100000,,Chennai
237,12/06/2018,Daily Ninja,Consumer Internet,Hyperlocal Delivery Platform,Saama Capital and Sequoia Capital,Seed/ Angel Funding,3000000,,Bengaluru
238,13/06/2018,NirogStreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,"Spiral Ventures, Subho Ray and Samir Kumar",Seed/ Angel Funding,300000,,Gurugram
239,13/06/2018,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Seed/ Angel Funding,450000,,Noida
241,14/06/2018,HomeLane,Consumer Internet,Online Home Furnishing Solutions,Brand Capital,Seed/ Angel Funding,3450000,,Bengaluru
242,14/06/2018,Network Intelligence,Technology,Cybersecurity Specialist,Helix Investments,Private Equity,4800000,,Mumbai
243,18/06/2018,Tynor Othontics,Healthcare,Prosthetics Manufacturers,Lighthouse Funds & Thuasne Participations,Private Equity,21000000,,Chandigarh
244,18/06/2018,Elucidata,IT,Data Analytics (SaaS),Hyperplane Venture Capital and several angel investors,Seed/ Angel Funding,1700000,,Delhi & Cambridge
246,19/06/2018,RentSher,Consumer Internet,Online Rental Marketplace,"Shorooq Investments, LetsVenture & Others",Seed/ Angel Funding,1100000,,Bengaluru
247,20/06/2018,Drip capital,Finance,Trade Finance Firm,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,15000000,,Mumbai
248,22/06/2018,WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,9100000,,Bengaluru
249,25/06/2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,200000000,,Gurugram
250,25/06/2018,HipBar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Diageo India,Private Equity,4000000,,Bengaluru
251,25/06/2018,Sqqrl,Finance,App-based investment platform,Equanimity Venture Fund,Seed/ Angel Funding,1000000,,Gurugram
252,26/06/2018,Paytm,Technology,Digital Payment Platform,One 97 Communications,Private Equity,8950000,,Noida
253,26/06/2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,19000000,,Bengaluru
254,27/06/2018,Wow Express,Technology,E-commerce Logistics Platform,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,4500000,,Mumbai
255,28/06/2018,Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Speciale Invest & Others,Seed/ Angel Funding,1100000,,Bengaluru
256,28/06/2018,Edureka,Ed-Tech,Online Education Platform,Leo Capital,Seed/ Angel Funding,2000000,,Bengaluru
258,02/05/2018,OpenTap,Finance,Online Lending Platform,Unknown High Net-Worth Individuals,Seed / Angel Funding,450000,,Chennai
259,02/05/2018,Bizongo,Consumer Internet,Aggregator For Packaging Material,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,22000000,,Mumbai
260,03/05/2018,Disprz,IT,SaaS,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,2500000,,Chennai
261,07/05/2018,PaisaDukan,Consumer Internet,P2P Lending Platform,,Seed / Angel Funding,225000,,Mumbai
262,09/05/2018,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,1000000,,Mumbai
263,11/05/2018,Earth Food,Consumer Internet,Agri-tech,Rairah Corporation,Seed / Angel Funding,949000,,Pune
264,14/05/2018,Nykaa,Consumer Internet,Beauty e-tailer,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,24000000,,Mumbai
265,16/05/2018,mfine,Healthcare,Doctor-Consultation App,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,4200000,,Bengaluru
266,21/05/2018,Rocketium,Technology,Online Video Creation Platform,Blume ventures,Seed/ Angel Funding,300000,,Bengaluru
267,21/05/2018,MilkBasket,Technology,Micro-Delivery Grocery Startup,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,7000000,,Gurugram
268,22/05/2018,Vola,Finance,Micro Lending Platform,Credika and unnamed angel investors,Seed/ Angel Funding,500000,,Bengaluru
269,22/05/2018,Cashkumar,Consumer Internet,P2P Lending Platform,LetsVenture,Seed/ Angel Funding,735000,,Bengaluru
270,23/05/2018,Edyoo,E-Commerce,Products For Shoolgoing Children,RS Shanbag,Seed/ Angel Funding,735000,,Bengaluru
271,23/05/2018,Aashiyaan,Finance,Housing Finance For Low-Income Families,"Insistor, Oikocredit",Seed/ Angel Funding,2000000,,Kolkata
272,24/05/2018,Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,2000000,,Delhi
273,24/05/2018,Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,293000,,Delhi
274,27/05/2018,Acko,Consumer Internet,Online Insurance Platform,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,12000000,,Mumbai
275,28/05/2018,HWell24,Healthcare,Home Healthcare Aggregator,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed/ Angel Funding,200000,,Mumbai
276,29/05/2018,Toffee,Consumer Internet,Online Insurance Platform,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,1500000,,Gurugram
277,29/05/2018,Tonetag,Technology,Mobile Payments Technology Platform,Amazon Inc. and Mastercard,Private Equity,8000000,,Bengaluru
279,30/05/2018,Stellaps,Technology,Iot Application Platform In Agriculture,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,14000000,,Bengaluru
280,31/05/2018,Credright,Consumer Internet,Lending Platform For SMEs,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Seed/ Angel Funding,1300000,,Hyderabad
281,02/04/2018,Fitternity,Consumer Internet,Online Fitness Discovey Platform,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,2000000,,Mumbai
282,02/04/2018,Synctag,Technology,Social Media Anlaytics Platform,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,307600,,Coimbatore
284,02/04/2018,Finzy,Consumer Internet,Online Loan Matchmaking Platform,,Seed / Angel Funding,1300000,,Bengaluru
285,04/04/2018,Varthana,Finance,Loans and Services To Affordable Private Schools in India,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,55000000,,Bengaluru
286,05/04/2018,IndigoLearn,Ed-Tech,Online Education Platform,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,150000,,Hyderabad
287,05/04/2018,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,"Accel Partners, Tiger Global And Others",Private Equity,10000000,,Bangalore
288,09/04/2018,Kaleidofin,Fiinance,Digital Financial Services Platform,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed / Angel Funding,2800000,,Chennai
289,09/04/2018,Pipabella,Consumer Internet,Fashion Accessories Etailer,Fireside Ventures,Seed / Angel Funding,1000000,,Mumbai
291,09/04/2018,Kriger Campus,Ed-Tech,Mobile-Based Education Network,,Seed / Angel Funding,46140,,Delhi
293,10/04/2018,TravelTriangle,Consumer Internet,Online Travel Marketplace,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,12000000,,Gurugram
294,12/04/2018,Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed / Angel Funding,1000000,,Delhi
295,12/04/2018,AyeFinance,Finance,Online Lending Platform,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,4600000,,Gurugram
296,13/04/2018,mintifi,Finance,Online Lending Platform,Lok Capital,Seed / Angel Funding,2000000,,Mumbai
297,16/04/2018,icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,Mr. Manoj Prasad,Seed / Angel Funding,500000,,Delhi
299,18/04/2018,Coverfox,Consumer Internet,Online Insurance Aggregator,"International Finance Corporation, Transamerica and others.",Private Equity,22000000,,Mumbai
302,19/04/2018,Fyle Technologies,Technology,AI Based Expense Management Platform,Pravega Ventures and Beenext,Seed / Angel Funding,1100000,,Bengaluru
303,19/04/2018,True Balance,Technology,Mobile Balance Checking App,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment",Private Equity,23000000,,Gurugram
305,22/04/2018,Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Vidal Healthcare,Seed / Angel Funding,1900000,,Mumbai
306,22/04/2018,Nykaa,Consumer Internet,Beauty e-tailer,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,11000000,,Mumbai
307,23/04/2018,Mihuru,Finance,Online Platform Providing Micro Loans For Air Travel,,Seed / Angel Funding,150000,,Mumbai
308,23/04/2018,Capital Float,Finance,Online Lending Platform,Amazon,Private Equity,22000000,,Bengaluru
309,25/04/2018,Trip shelf,Consumer Internet,Online Travel Marketplace,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed / Angel Funding,246000,,Delhi
310,26/04/2018,POPxo,Technology,Women Focussed Digital Media Platform,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,5500000,,Delhi
312,27/04/2018,1mg,Consumer Internet,Online Pharmacy Store,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,10000000,,Gurugram
314,30/04/2018,Samco,Consumer Internet,Online Stock Broker,Bay Capital Investments and Others,Private Equity,7500000,,Mumbai
315,30/04/2018,MyLoanCare,Finance,B2C Online Loans Marketplace,SAR Group,Seed / Angel Funding,978000,,Gurgaon
317,01/03/2018,Buddy4studdy,Consumer Internet,Online Scholarship Portal,CBA Capital and others,Private Equity,3000000,,Noida
318,01/03/2018,Urban Ladder,E-Commerce,Online Furniture Store,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,12000000,,Bengaluru
319,03/03/2018,Kuvera,Consumer Internet,Online Financial Planning,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,250000,,Bengaluru
320,04/03/2018,Gramophone,Technology,Agri-tech,InfoEdge,Seed/Angel Funding,1000000,,Indore
321,05/03/2018,Wellthy,Healthcare,Therapeutics,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,2100000,,Mumbai
322,05/03/2018,MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers","HDFC Life, HDFC Asset Management",Private Equity,10000000,,Bengaluru
323,05/03/2018,Finova Capital,Consumer Internet,Online Lending,Sequoia Capital,Private Equity,6000000,,Jaipur
324,05/03/2018,Hotelogix,Technology,Cloud based Online Hotel Management Software,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,5000000,,Noida
325,04/03/2018,Livehealth,Consumer Internet,Health Service Aggregator Platform,Nexus Venture Partners,Seed / Angel Funding,1100000,,Pune
326,06/03/2018,Ad2pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Avendus Finance Pvt. Ltd,Debt Funding,9700000,,Chennai
327,06/03/2018,Coverfox,Consumer Internet,Online Insurance Aggregator,Aegon NV,Private Equity,7600000,,Mumbai
328,08/03/2018,Pepperfry,Consumer Internet,Online Furniture Shopping Store,State Street Global Advisors,Private Equity,38400000,,Mumbai
329,08/03/2018,Magicpin,Consumer Internet,Hyperlocal Discovery,Trifecta Capital,Debt Funding,1000000,,Gurugram
330,12/03/2018,HealthCare,Consumer Internet,Healthcare Aggregator,HR Fund,Seed / Angel Funding,1000000,,Mumbai
331,13/03/2018,PineLabs,Technology,Digital Payment Platform,"Actis, Altimeter Capital",Private Equity,82000000,,Mumbai
333,14/03/2018,AvailFinance,Consumer Internet,Online Lending Platform,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,17200000,,Bengaluru
334,15/03/2018,Grofers,Consumer Internet,Online Grocery Shop,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,62000000,,Gurugram
335,19/03/2018,Fingerlix,Consumer Internet,Ready To cook Food Solution,Alteria Capital,Debt Funding,1310000,,Mumbai
336,19/03/2018,Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,"1Crowd, Ankur Capital",Seed / Angel Funding,500000,,Udaipur
337,19/03/2018,Zappfresh,Food & Beverages,Online Raw Meat E-tailer,"Amit Burman, SIDBI Venture Capital",Seed / Angel Funding,3000000,,Gurugram
338,19/03/2018,CustomerSucessBox,Technology,Customer Success Software for B2B SaaS,"Pi Ventures, Axilor Ventures",Seed / Angel Funding,1000000,,Gurugram
341,22/03/2018,Chargebee,Technology,Subscription Billing & Recurring Payments Software,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,18000000,,Chennai
342,22/03/2018,i2i Funding,Consumer Internet,Online loan platform,SucSEED Venture Partners,Seed / Angel Funding,768000,,Noida
343,22/03/2018,Slang Labs,Technology,Voice-based assistant platform,Endiya Partners,Seed / Angel Funding,1240000,,Bengaluru
345,26/03/2018,Cash Suvidha,Consumer Internet,Online loan platform,"Initia Holdings,Vipin Agarwal and others.",Seed / Angel Funding,1000000,,Delhi
346,28/03/2018,Roadcast,Technology,Fleet management and asset monitoring platform,,Private Equity,250000,,Delhi
347,28/03/2018,Smartcoin,Finance,Micro lending company,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed / Angel Funding,2000000,,Bengaluru
348,27/03/2018,The Print,Media,News portal,Ratan Tata,Seed / Angel Funding,535000,,Delhi
349,27/03/2018,DriveU,Technology,Professional Car Drivers Hiring App,Amit Singhal and Unitus Seed Fund,Private Equity,3000000,,Bengaluru
351,01/02/2018,BigBasket,Consumer Internet,Online Grocery & Food Store,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,300000000,,Bengaluru
352,01/02/2018,Zomato,Food and Beverages,Food Ordering and Restaurant Discovery,Ant Financials,Private Equity,200000000,,Gurugram
353,05/02/2018,Pratilipi,Publishing,E-Publishing,Omidyar Network,Private Equity,4300000,,Bengaluru
354,05/02/2018,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,CDC Group Plc,Private Equity,21000000,,Faridabad
355,05/02/2018,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,"Man Capital LLP, Girnar Software, Others",Private Equity,2000000,,Gurugram
357,06/02/2018,Healthi,Healthcare,Preventive Health Checkup,Montane Ventures,Private Equity,3100000,,Bengaluru
358,07/02/2018,Swiggy,Food and Beverages,Online Food Delivery,Naspers,Private Equity,100000000,,Bengaluru
359,08/02/2018,Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Sandeep Mathur,Seed / Angle Funding,100000000,,Pune
360,08/02/2018,Icertis,Consumer Internet,Enterprise Contract Management Platform,Meritech Capital Partners,Private Equity,50000000,,Pune
361,09/02/2018,healthifyme,Healthcare,Mobile Weight Loss Coach,Sistema Asia Fund,Private Equity,12000000,,Bengaluru
363,09/02/2018,Rupeek,Consumer Internet,Online Gold Loan,"Accel Partners, Sequoia Capital",Private Equity,6830000,,Bengaluru
365,12/02/2018,Lendingkart,Finance,Online Lending Platform,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,87000000,,Bengaluru
367,12/02/2018,Cashify,E-Commerce,Online Selling,Trifecta Capital,Debt Funding,935089,,Gurugram
368,13/02/2018,holachef,Food and Beverages,Online Food Delivery,Ashok Kumar Gajera,Seed / Angle Funding,311200,,Mumbai
370,13/02/2018,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,13500000,,Bengaluru
371,14/02/2018,Littlemore,Ed-Tech,Online Education Platform,Kalpavriksh,Private Equity,3000000,,Chennai
372,14/02/2018,Toppr,Ed-Tech,Online Education Platform,Axis Capital Partners,Private Equity,100000,,Mumbai
373,14/02/2018,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,500000,,Mumbai
374,14/02/2018,MoneyOnMobile,Technology,mobile payment platform,S7 Group,Private Equity,5000000,,Mumbai
375,15/02/2018,PetSutra,Consumer Internet,Online Pet Care Products,Michael Patrick Hickey,Seed / Angel Funding,148434,,Gurugram
376,15/02/2018,Infibeam,E-Commerce,Online Retailing,Network 18,Private Equity,6230000,,Ahemadabad
